"userid","kanji","characterdataid","time","tries","helps","audio","iteration","session","strokes","experience","sessioniteration","ntries","nhelps"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",899,"2014-07-15 10:14:35","1.666666667","0",TRUE,6,0,3,0,6,"5.000000001","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",900,"2014-07-15 10:14:50","1.333333333","0.3333333333",TRUE,3,0,3,0,3,"3.999999999","0.9999999999"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",901,"2014-07-15 10:15:03","1.2","0",FALSE,7,0,5,0,7,"6.0","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",902,"2014-07-15 10:15:13","1","0.3333333333",TRUE,4,0,3,0,4,"3","0.9999999999"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",903,"2014-07-15 10:15:21","1","0",TRUE,7,0,3,0,7,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",904,"2014-07-15 10:15:30","1","0",TRUE,5,0,3,0,5,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",905,"2014-07-15 10:15:41","1","0",TRUE,10,0,4,0,10,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",906,"2014-07-15 10:15:50","1","0",TRUE,6,0,3,0,6,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",907,"2014-07-15 10:16:00","1","0",FALSE,8,0,5,0,8,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",908,"2014-07-15 10:16:09","1","0",TRUE,7,0,3,0,7,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",909,"2014-07-15 10:16:19","1","0",TRUE,8,0,3,0,8,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",910,"2014-07-15 10:16:29","1","0",FALSE,9,0,5,0,9,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",911,"2014-07-15 10:16:40","1.333333333","0",TRUE,9,0,3,0,9,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",912,"2014-07-15 10:16:48","1","0",TRUE,8,0,3,0,8,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",913,"2014-07-15 10:17:00","1","0",TRUE,11,0,4,0,11,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",914,"2014-07-15 10:17:10","1","0",TRUE,2,0,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",915,"2014-07-15 10:17:19","1.333333333","0",TRUE,9,0,3,0,9,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",916,"2014-07-15 10:17:27","1","0",TRUE,3,0,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1224,"2014-07-15 18:36:03","1.25","0.125",FALSE,6,1,8,0,1,"10.00","1.000"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1226,"2014-07-15 18:36:23","1.333333333","0.3333333333",TRUE,6,1,3,0,1,"3.999999999","0.9999999999"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1229,"2014-07-15 18:36:39","1","0",TRUE,6,1,4,0,1,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",1232,"2014-07-15 18:36:49","1","0",TRUE,4,1,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1236,"2014-07-15 18:37:04","1","0.25",FALSE,6,1,4,0,1,"4","1.00"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1239,"2014-07-15 18:37:18","1","0",FALSE,10,1,5,0,1,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1241,"2014-07-15 18:37:29","1","0",TRUE,12,1,4,0,1,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1243,"2014-07-15 18:37:44","1.333333333","0",TRUE,8,1,3,0,1,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1246,"2014-07-15 18:37:55","1","0",TRUE,10,1,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1249,"2014-07-15 18:38:09","1","0",TRUE,7,1,4,0,2,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1252,"2014-07-15 18:38:29","1.25","0",FALSE,7,1,8,0,2,"10.00","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",1255,"2014-07-15 18:38:40","1","0",TRUE,10,1,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1258,"2014-07-15 18:38:54","1","0",FALSE,11,1,5,0,2,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1261,"2014-07-15 18:39:06","1","0",FALSE,7,1,4,0,2,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1263,"2014-07-15 18:39:25","2","0",TRUE,7,1,3,0,2,"6","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1264,"2014-07-15 18:39:37","1","0",TRUE,13,1,4,0,2,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1265,"2014-07-15 18:39:57","1","0",FALSE,8,1,8,0,3,"8","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",1266,"2014-07-15 18:40:08","1","0",TRUE,11,1,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1267,"2014-07-15 18:40:22","1","0",TRUE,8,1,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1268,"2014-07-15 18:40:33","1","0",TRUE,11,1,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1269,"2014-07-15 18:40:50","1.333333333","0",TRUE,9,1,3,0,4,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1270,"2014-07-15 18:41:04","1","0",TRUE,8,1,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1271,"2014-07-15 18:41:18","1.333333333","0",TRUE,10,1,3,0,5,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1272,"2014-07-15 18:41:35","1.666666667","0.3333333333",TRUE,9,1,3,0,2,"5.000000001","0.9999999999"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1273,"2014-07-15 18:41:46","1","0",FALSE,8,1,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",1274,"2014-07-15 18:42:07","1","0",TRUE,12,1,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1275,"2014-07-15 18:42:18","1","0",FALSE,9,1,4,0,4,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1276,"2014-07-15 18:42:34","1","0",TRUE,11,1,3,0,6,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1277,"2014-07-15 18:42:48","1.333333333","0",TRUE,12,1,3,0,3,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1278,"2014-07-15 18:42:59","1","0",TRUE,10,1,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1279,"2014-07-15 18:43:17","1","0",FALSE,12,1,5,0,3,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1280,"2014-07-15 18:43:29","1","0",TRUE,12,1,3,0,7,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1281,"2014-07-15 18:43:41","1.333333333","0",TRUE,13,1,3,0,4,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1282,"2014-07-15 18:43:53","1","0",TRUE,11,1,3,0,4,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1283,"2014-07-15 18:44:04","1.333333333","0",TRUE,14,1,3,0,5,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",1284,"2014-07-15 18:44:15","1","0",TRUE,5,1,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1285,"2014-07-15 18:44:33","1.125","0",FALSE,9,1,8,0,4,"9.000","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",1286,"2014-07-15 18:44:42","1","0",TRUE,6,1,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1287,"2014-07-15 18:44:54","1","0",TRUE,14,1,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1354,"2014-07-16 04:37:16","1","0",FALSE,13,2,5,0,1,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1355,"2014-07-16 04:37:31","1.25","0",TRUE,15,2,4,0,1,"5.00","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1356,"2014-07-16 04:37:48","1","0",TRUE,9,2,4,0,1,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1357,"2014-07-16 04:38:14","1.125","0",FALSE,10,2,8,0,1,"9.000","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",1358,"2014-07-16 04:38:26","1","0",TRUE,13,2,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1359,"2014-07-16 04:38:41","1","0",TRUE,12,2,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1360,"2014-07-16 04:38:58","1.25","0.25",FALSE,10,2,4,0,1,"5.00","1.00"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1361,"2014-07-16 04:39:14","1","0",TRUE,13,2,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",1362,"2014-07-16 04:39:27","1","0",TRUE,7,2,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1363,"2014-07-16 04:39:46","1","0",TRUE,10,2,4,0,2,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1364,"2014-07-16 04:40:02","1","0",FALSE,14,2,5,0,2,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1365,"2014-07-16 04:40:36","1.25","0",FALSE,11,2,4,0,2,"5.00","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",1366,"2014-07-16 04:40:49","1","0",TRUE,14,2,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1367,"2014-07-16 04:41:05","1.25","0",TRUE,16,2,4,0,2,"5.00","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1368,"2014-07-16 04:41:19","1","0",TRUE,14,2,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1369,"2014-07-16 04:41:32","1.333333333","0",TRUE,13,2,3,0,2,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1370,"2014-07-16 04:41:44","1","0",TRUE,16,2,3,0,1,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1371,"2014-07-16 04:42:05","1.125","0",FALSE,11,2,8,0,2,"9.000","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1372,"2014-07-16 04:42:19","1","0",TRUE,11,2,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",1373,"2014-07-16 04:42:29","1","0",TRUE,8,2,3,0,2,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1374,"2014-07-16 04:42:46","1","0",FALSE,12,2,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1375,"2014-07-16 04:43:01","1","0",FALSE,15,2,5,0,3,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",1376,"2014-07-16 04:43:13","1","0",TRUE,15,2,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",1377,"2014-07-16 04:43:23","1","0",TRUE,15,2,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",1378,"2014-07-16 04:43:41","1.333333333","0",TRUE,17,2,3,0,2,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",1379,"2014-07-16 04:44:01","1.5","0",TRUE,12,2,4,0,4,"6.0","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",1380,"2014-07-16 04:44:13","1","0",TRUE,14,2,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","下",1381,"2014-07-16 04:44:26","1","0",TRUE,9,2,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1383,"2014-07-16 04:44:42","1","0",TRUE,17,2,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",1382,"2014-07-16 04:45:00","1","0",FALSE,16,2,5,0,4,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",1385,"2014-07-16 04:45:13","1","0",FALSE,13,2,4,0,4,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",1384,"2014-07-16 04:45:36","1.5","0",TRUE,18,2,4,0,4,"6.0","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",1386,"2014-07-16 04:46:00","1.25","0",FALSE,12,2,8,0,3,"10.00","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","上",1639,"2014-07-17 10:59:12","1.333333333","0.6666666667",FALSE,2,0,3,1,2,"3.999999999","2.0000000001"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","上",1641,"2014-07-17 10:59:39","1","0.3333333333",FALSE,3,0,3,1,3,"3","0.9999999999"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","下",1644,"2014-07-17 11:00:16","1","0",TRUE,2,0,3,1,2,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1645,"2014-07-17 11:00:40","2","0.3333333333",FALSE,2,0,3,1,2,"6","0.9999999999"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","上",1646,"2014-07-17 11:00:49","1.333333333","0",FALSE,4,0,3,1,4,"3.999999999","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","下",1647,"2014-07-17 11:01:11","1.666666667","0",TRUE,3,0,3,1,3,"5.000000001","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","下",1649,"2014-07-17 11:01:51","1","0",TRUE,4,0,3,1,4,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","上",1650,"2014-07-17 11:02:14","1","0",FALSE,5,0,3,1,5,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","雨",1651,"2014-07-17 11:02:29","1.25","0",TRUE,2,0,8,1,2,"10.00","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1652,"2014-07-17 11:02:50","1","0",FALSE,3,0,3,1,3,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","雨",1653,"2014-07-17 11:03:05","1.125","0",TRUE,3,0,8,1,3,"9.000","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1654,"2014-07-17 11:03:24","2","0",FALSE,4,0,3,1,4,"6","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","囗",1655,"2014-07-17 11:03:34","1","0",TRUE,2,0,3,1,2,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","雨",1656,"2014-07-17 11:03:45","1.125","0",TRUE,4,0,8,1,4,"9.000","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","大",1657,"2014-07-17 11:03:57","2","0",FALSE,2,0,3,1,2,"6","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","日",1658,"2014-07-17 11:04:03","1","0",FALSE,2,0,4,1,2,"4","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","木",1659,"2014-07-17 11:04:09","1","0",FALSE,2,0,4,1,2,"4","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1660,"2014-07-17 11:04:51","1","0.6666666667",FALSE,5,0,3,1,5,"3","2.0000000001"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","上",1661,"2014-07-17 11:05:28","1","0.3333333333",FALSE,6,0,3,1,6,"3","0.9999999999"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","大",1662,"2014-07-17 11:05:33","1","0",FALSE,3,0,3,1,3,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","囗",1664,"2014-07-17 11:05:36","1","0",TRUE,3,0,3,1,3,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","大",1663,"2014-07-17 11:05:40","1","0",FALSE,4,0,3,1,4,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","囗",1665,"2014-07-17 11:05:42","1","0",TRUE,4,0,3,1,4,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1666,"2014-07-17 11:05:49","1","0.3333333333",FALSE,6,0,3,1,6,"3","0.9999999999"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","囗",1667,"2014-07-17 11:05:52","1","0",TRUE,5,0,3,1,5,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1668,"2014-07-17 11:05:55","1.333333333","0",FALSE,7,0,3,1,7,"3.999999999","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","木",1669,"2014-07-17 11:06:00","1.25","0",FALSE,3,0,4,1,3,"5.00","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","上",1670,"2014-07-17 11:06:05","1","0",FALSE,7,0,3,1,7,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1671,"2014-07-17 11:06:08","1.333333333","0",FALSE,8,0,3,1,8,"3.999999999","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","下",1672,"2014-07-17 11:06:13","1","0",TRUE,5,0,3,1,5,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1673,"2014-07-17 11:06:20","1.333333333","0",FALSE,9,0,3,1,9,"3.999999999","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","日",1674,"2014-07-17 11:06:23","1","0",FALSE,3,0,4,1,3,"4","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","甲",1675,"2014-07-17 11:06:35","1.6","0.4",FALSE,2,0,5,1,2,"8.0","2.0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","日",1676,"2014-07-17 11:06:51","1.25","0.5",FALSE,4,0,4,1,4,"5.00","2.0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1677,"2014-07-17 11:06:56","1","0.3333333333",FALSE,10,0,3,1,10,"3","0.9999999999"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","日",1678,"2014-07-17 11:06:59","1","0",FALSE,5,0,4,1,5,"4","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1679,"2014-07-17 11:07:04","1.666666667","0",FALSE,11,0,3,1,11,"5.000000001","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","大",1680,"2014-07-17 11:07:08","1","0",FALSE,5,0,3,1,5,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1681,"2014-07-17 11:07:15","2","0.3333333333",FALSE,12,0,3,1,12,"6","0.9999999999"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","日",1682,"2014-07-17 11:07:18","1","0",FALSE,6,0,4,1,6,"4","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1683,"2014-07-17 11:07:23","1","0",FALSE,13,0,3,1,13,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","雨",1684,"2014-07-17 11:07:30","1.125","0",TRUE,5,0,8,1,5,"9.000","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","甲",1685,"2014-07-17 11:07:36","1","0",FALSE,3,0,5,1,3,"5","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","雨",1686,"2014-07-17 11:07:44","1.125","0",TRUE,6,0,8,1,6,"9.000","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1687,"2014-07-17 11:07:51","1.666666667","0",FALSE,14,0,3,1,14,"5.000000001","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","下",1688,"2014-07-17 11:07:54","1","0",TRUE,6,0,3,1,6,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","甲",1689,"2014-07-17 11:08:36","1.2","0",FALSE,4,0,5,1,4,"6.0","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","木",1690,"2014-07-17 11:08:41","1.25","0",FALSE,4,0,4,1,4,"5.00","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","土",1691,"2014-07-17 11:08:44","1.666666667","0",FALSE,15,0,3,1,15,"5.000000001","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","日",1692,"2014-07-17 11:08:47","1","0",FALSE,7,0,4,1,7,"4","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","甲",1693,"2014-07-17 11:08:50","1","0",FALSE,5,0,5,1,5,"5","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","囗",1694,"2014-07-17 11:08:53","1","0",TRUE,6,0,3,1,6,"3","0"
"350189E0-1D41-4A93-9B6B-61F36673B4D9","天",1695,"2014-07-17 11:09:03","2","0",FALSE,2,0,4,1,2,"8","0"
